"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - ноябрь 2022 г.)"
"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"Центральный фед.округ","3_4","Количество преступлений, зарегистрированных в отчетном периоде",418391
"Центральный фед.округ","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",124173
"Центральный фед.округ","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",26736
"Центральный фед.округ","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",199494
"Центральный фед.округ","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",53615
"Центральный фед.округ","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",16880
"Центральный фед.округ","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","-40,06402095"
"Центральный фед.округ","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","-11,4018115"
"Центральный фед.округ","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)","-89,77635783"
"Центральный фед.округ","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)","-98,20224719"
"Центральный фед.округ","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)","-97,41485433"
"Центральный фед.округ","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,230891913"
"Белгородская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде",13533
"Белгородская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",4034
"Белгородская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",522
"Белгородская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",8059
